player,receiving_rec,receiving_tgt,receiving_yds,receiving_y/r,receiving_lg,receiving_20+,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games_played,fantasy_points,fantasy_points_per_game,percent_rostered
Sam LaPorta (DET),86,120,889,10.3,48,8,10,1,4,0,0,17,153.3,9.0,98.9
George Kittle (SF),65,90,1020,15.7,66,18,6,1,2,0,0,16,138.2,8.6,97.4
Travis Kelce (KC),93,121,984,10.6,53,12,5,0,0,0,1,15,126.4,8.4,99.9
T.J. Hockenson (MIN),95,127,960,10.1,29,13,5,0,0,0,1,15,124.0,8.3,81.2
David Njoku (CLE),81,123,882,10.9,43,12,6,0,0,0,2,16,120.2,7.5,93.7
Evan Engram (JAC),114,143,963,8.4,34,9,4,0,0,0,2,17,116.3,6.8,96.5
Taysom Hill (NO),33,40,291,8.8,36,2,2,81,401,4,1,16,110.5,6.9,35.8
Cole Kmet (CHI),73,90,719,9.8,53,9,6,3,2,0,0,17,108.1,6.4,70.0
Jake Ferguson (DAL),71,102,761,10.7,40,8,5,0,0,0,0,17,106.1,6.2,89.6
Trey McBride (ARI),81,106,825,10.2,38,9,3,0,0,0,0,17,100.5,5.9,91.3
Dalton Schultz (HOU),59,88,635,10.8,31,7,5,0,0,0,1,15,91.5,6.1,75.7
Mark Andrews (BAL),45,61,544,12.1,38,8,6,1,0,0,0,10,90.4,9.0,73.3
Kyle Pitts (ATL),53,90,667,12.6,39,7,3,1,-4,0,0,17,84.3,5.0,88.2
Hunter Henry (NE),42,61,419,10.0,24,2,6,0,0,0,0,14,77.9,5.6,15.1
Dalton Kincaid (BUF),73,91,673,9.2,51,5,2,0,0,0,1,16,77.3,4.8,86.2
Dallas Goedert (PHI),59,83,592,10.0,49,6,3,1,1,0,0,14,77.3,5.5,89.3
Jonnu Smith (MIA),50,70,582,11.6,60,4,3,1,0,0,1,17,74.2,4.4,8.0
Logan Thomas (SF),55,78,496,9.0,29,3,4,1,2,0,2,16,71.8,4.5,19.2
Isaiah Likely (BAL),30,40,411,13.7,54,6,5,0,0,0,0,17,71.1,4.2,37.0
Cade Otton (TB),47,67,455,9.7,27,6,4,0,0,0,1,17,69.5,4.1,16.5
Tyler Conklin (NYJ),61,87,621,10.2,37,7,0,1,0,0,0,17,62.1,3.7,16.7
Tyler Higbee (LAR),47,70,495,10.5,33,6,2,0,0,0,0,15,61.5,4.1,19.6
Darren Waller (FA),52,74,552,10.6,29,8,1,0,0,0,0,12,61.2,5.1,46.7
Juwan Johnson (NO),37,59,368,9.9,32,7,4,0,0,0,0,13,60.8,4.7,9.5
Gerald Everett (CHI),51,70,411,8.1,31,4,3,3,10,0,0,15,60.1,4.0,23.4
Chigoziem Okonkwo (TEN),54,77,528,9.8,39,6,1,2,6,0,0,17,59.4,3.5,23.7
Donald Parham Jr. (LAC),27,41,285,10.6,24,2,4,0,0,0,0,14,52.5,3.8,1.1
Tucker Kraft (GB),31,40,355,11.5,43,5,2,0,0,0,0,17,47.5,2.8,11.2
Pat Freiermuth (PIT),32,47,308,9.6,29,3,2,0,0,0,0,12,44.8,3.7,57.7
Michael Mayer (LV),27,40,304,11.3,32,2,2,0,0,0,0,14,44.4,3.2,4.4
Kylen Granson (IND),30,50,368,12.3,46,5,1,1,2,0,0,15,43.0,2.9,0.6
Noah Gray (KC),28,41,305,10.9,34,4,2,1,1,0,0,17,42.6,2.5,0.8
Noah Fant (SEA),32,43,414,12.9,51,7,0,0,0,0,0,17,41.4,2.4,2.1
Luke Musgrave (GB),34,46,352,10.4,37,5,1,0,0,0,0,11,41.2,3.7,8.1
Tanner Hudson (CIN),39,50,352,9.0,26,3,1,0,0,0,0,12,41.2,3.4,2.7
Adam Trautman (DEN),22,35,204,9.3,24,2,3,0,0,0,0,17,38.4,2.3,0.2
Tommy Tremble (CAR),23,32,194,8.4,30,2,3,0,0,0,0,16,37.4,2.3,0.3
Colby Parkinson (LAR),25,34,247,9.9,27,5,2,0,0,0,0,17,36.7,2.2,0.6
Durham Smythe (MIA),35,43,366,10.5,22,3,0,0,0,0,0,16,36.6,2.3,0.6
Mike Gesicki (CIN),29,45,244,8.4,18,0,2,0,0,0,0,17,36.4,2.1,2.2
Mo Alie-Cox (IND),13,22,161,12.4,35,2,3,0,0,0,0,17,36.1,2.1,0.1
Brevin Jordan (HOU),17,21,219,12.9,27,3,2,0,0,0,0,13,33.9,2.6,5.1
Dawson Knox (BUF),22,36,186,8.5,17,0,2,0,0,0,0,12,32.6,2.7,4.6
Josh Oliver (MIN),22,28,213,9.7,33,3,2,0,0,0,1,17,31.3,1.8,0.6
Drew Sample (CIN),22,27,163,7.4,22,1,2,0,0,0,0,17,28.3,1.7,0.1
Jimmy Graham (FA),6,7,39,6.5,12,0,4,0,0,0,0,13,27.9,2.1,0.0
Andrew Beck (HOU),11,13,55,5.0,26,1,2,5,3,1,1,15,27.8,1.9,0.1
Drew Ogletree (IND),9,21,147,16.3,33,4,2,0,0,0,0,12,26.7,2.2,0.1
Daniel Bellinger (NYG),25,28,255,10.2,26,4,0,0,0,0,0,17,25.5,1.5,0.8
Foster Moreau (NO),21,25,193,9.2,23,1,1,0,0,0,0,15,25.3,1.7,0.1
Harrison Bryant (LV),13,20,81,6.2,23,1,3,5,8,0,1,17,24.9,1.5,0.1
Pharaoh Brown (SEA),13,15,208,16.0,58,5,1,0,0,0,1,17,24.8,1.5,0.1
Zach Ertz (WAS),27,43,187,6.9,17,0,1,0,0,0,0,7,24.7,3.5,3.4
Hayden Hurst (LAC),18,32,184,10.2,48,1,1,0,0,0,0,10,24.4,2.4,2.2
Austin Hooper (NE),25,31,234,9.4,21,2,0,0,0,0,0,17,23.4,1.4,0.3
Will Dissly (LAC),17,22,172,10.1,21,2,1,0,0,0,0,16,23.2,1.5,0.2
Johnny Mundt (MIN),17,23,172,10.1,32,2,1,0,0,0,0,17,23.2,1.4,1.5
Elijah Higgins (ARI),14,19,163,11.6,26,3,1,0,0,0,0,11,22.3,2.0,0.1
Stone Smartt (LAC),11,21,155,14.1,51,3,1,0,0,0,0,16,21.5,1.3,0.1
Will Mallory (IND),18,26,207,11.5,43,1,0,0,0,0,0,12,20.7,1.7,0.1
Luke Schoonmaker (DAL),8,15,65,8.1,18,0,2,0,0,0,0,17,18.5,1.1,0.3
MyCole Pruitt (PIT),9,12,110,12.2,22,2,1,0,0,0,0,17,17.0,1.0,0.0
Connor Heyward (PIT),23,34,167,7.3,13,0,0,1,0,0,0,17,16.7,1.0,0.2
Lucas Krull (DEN),8,14,95,11.9,35,1,1,0,0,0,0,7,15.5,2.2,0.1
Davis Allen (LAR),10,11,95,9.5,21,1,1,0,0,0,0,15,15.5,1.0,0.1
Irv Smith Jr. (KC),18,26,115,6.4,14,0,1,0,0,0,1,12,15.5,1.3,1.7
Luke Farrell (JAC),13,15,155,11.9,42,2,0,0,0,0,0,17,15.5,0.9,0.1
Josh Whyle (TEN),9,15,94,10.4,24,1,1,0,0,0,0,11,15.4,1.4,0.1
Jeremy Ruckert (NYJ),16,22,151,9.4,23,1,0,0,0,0,0,15,15.1,1.0,0.2
Brock Wright (DET),13,14,91,7.0,25,1,1,0,0,0,0,14,15.1,1.1,0.2
John Bates (WAS),19,28,151,7.9,35,1,0,0,0,0,0,17,15.1,0.9,0.0
Charlie Kolar (BAL),7,9,87,12.4,19,0,1,0,0,0,0,14,14.7,1.1,0.1
Jordan Akins (CLE),15,23,132,8.8,28,1,0,0,0,0,0,17,13.2,0.8,0.1
Stephen Sullivan (CAR),12,24,125,10.4,20,1,0,0,0,0,0,11,12.5,1.1,0.1
Cole Turner (WAS),11,15,120,10.9,29,2,0,0,0,0,0,12,12.0,1.0,0.0
C.J. Uzomah (PHI),8,12,58,7.3,19,0,1,0,0,0,0,12,11.8,1.0,0.1
Robert Tonyan (MIN),11,17,112,10.2,24,1,0,0,0,0,0,17,11.2,0.7,0.1
Brenton Strange (JAC),5,9,35,7.0,17,0,1,0,0,0,0,14,9.5,0.7,0.1
Geoff Swaim (FA),10,11,94,9.4,26,1,0,0,0,0,0,14,9.4,0.7,0.0
Marcedes Lewis (CHI),4,5,29,7.3,16,0,1,0,0,0,0,17,8.9,0.5,0.1
Quintin Morris (BUF),2,3,26,13.0,15,0,1,0,0,0,0,15,8.6,0.6,0.0
Ben Sims (GB),4,6,21,5.3,12,0,1,0,0,0,0,16,8.1,0.5,0.1
Brycen Hopkins (FA),5,7,78,15.6,29,2,0,0,0,0,0,15,7.8,0.5,0.0
Blake Bell (FA),5,9,26,5.2,8,0,1,0,0,0,1,17,6.6,0.4,0.0
Josiah Deguara (JAC),8,8,65,8.1,19,0,0,0,0,0,0,15,6.5,0.4,0.0
Ko Kieft (TB),1,5,2,2.0,2,0,1,0,0,0,0,16,6.2,0.4,0.1
Darnell Washington (PIT),7,10,61,8.7,12,0,0,0,0,0,0,17,6.1,0.4,0.3
Payne Durham (TB),5,7,58,11.6,25,1,0,0,0,0,0,13,5.8,0.4,0.1
Ian Thomas (CAR),5,9,56,11.2,28,1,0,0,0,0,0,12,5.6,0.5,0.1
Mitchell Wilcox (NE),9,12,56,6.2,12,0,0,0,0,0,0,17,5.6,0.3,0.0
Grant Calcaterra (PHI),4,4,39,9.8,12,0,0,0,0,0,0,14,3.9,0.3,0.1
Jack Stoll (NYG),5,8,38,7.6,14,0,0,0,0,0,0,17,3.8,0.2,0.0
Peyton Hendershot (DAL),4,7,38,9.5,24,1,0,1,0,0,0,8,3.8,0.5,0.1
Teagan Quitoriano (HOU),2,3,33,16.5,22,1,0,0,0,0,0,7,3.3,0.5,0.0
Charlie Woerner (ATL),3,3,32,10.7,20,1,0,0,0,0,0,17,3.2,0.2,0.1
Julian Hill (MIA),6,9,48,8.0,18,0,0,0,0,0,1,15,2.8,0.2,0.0
James Mitchell (DET),2,2,28,14.0,24,1,0,0,0,0,0,14,2.8,0.2,0.1
Kenny Yeboah (NYJ),2,4,28,14.0,20,1,0,0,0,0,0,5,2.8,0.6,0.0
Greg Dulcich (DEN),3,4,25,8.3,13,0,0,0,0,0,0,2,2.5,1.3,3.9
Nate Adkins (DEN),4,5,22,5.5,11,0,0,0,0,0,0,10,2.2,0.2,0.0
Nick Muse (MIN),1,1,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0
Trevon Wesco (FA),1,3,21,21.0,21,1,0,0,0,0,0,15,2.1,0.1,0.0
Chris Manhertz (NYG),2,4,16,8.0,10,0,0,0,0,0,0,16,1.6,0.1,0.0
Eric Saubert (SF),3,3,12,4.0,5,0,0,0,0,0,0,8,1.2,0.2,0.0
Ross Dwelley (ATL),1,2,12,12.0,12,0,0,0,0,0,0,12,1.2,0.1,0.0
John FitzPatrick (ATL),1,1,12,12.0,12,0,0,0,0,0,0,7,1.2,0.2,0.0
Tucker Fisk (FA),1,1,9,9.0,9,0,0,0,0,0,0,6,0.9,0.2,0.1
Cole Fotheringham (LV),1,1,6,6.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0
Kevin Rader (FA),1,3,6,6.0,6,0,0,0,0,0,0,14,0.6,0.0,0.0
Jesper Horsted (NO),1,1,4,4.0,4,0,0,0,0,0,0,5,0.4,0.1,0.0
Nick Vannett (TEN),1,1,3,3.0,3,0,0,0,0,0,0,8,0.3,0.0,0.0
Giovanni Ricci (CLE),1,1,2,2.0,2,0,0,0,0,0,0,6,0.2,0.0,0.0
Matt Sokol (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Matt Orzech (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Parker Hesse (DET),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Mitchell Fraboni (DEN),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0
Tommy Sweeney (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tyree Jackson (NYG),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Zach Gentry (LV),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Stephen Carlson (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jody Fortson Jr. (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dalton Keene (HOU),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Noah Togiai (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Lawrence Cager (NYG),4,5,36,9.0,10,0,1,0,0,0,0,9,0.0,0.0,0.0
Tyler Mabry (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Sean McKeon (DET),0,2,0,0.0,0,0,0,0,0,0,0,9,0.0,0.0,0.0
Tyler Davis (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Scotty Washington (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tommy Hudson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cade Stover (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4
Zack Kuntz (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Brayden Willis (SF),0,0,0,0.0,0,0,0,0,0,0,0,7,0.0,0.0,0.0
Derek Parish (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.3
Joel Wilson (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Blake Whiteheart (ARI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Henry Pearson (GB),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Patrick Murtagh (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brady Russell (SEA),0,0,0,0.0,0,0,0,0,0,0,0,10,0.0,0.0,0.0
E.J. Jenkins (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Travis Vokolek (ARI),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Thomas Odukoya (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tanner Taula (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Rodney Williams (PIT),0,2,0,0.0,0,0,0,0,0,0,0,13,0.0,0.0,0.0
Chris Pierce Jr. (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Leroy Watson IV (TEN),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Dallin Holker (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jaheim Bell (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Kehinde Oginni Hassan (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jake Tonges (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Zaire Mitchell-Paden (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Alec Holler (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tip Reiman (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Jacob Warren (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jack Westover (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brenden Bates (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Messiah Swinson (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Devin Culp (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Luke Benson (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Colson Yankoff (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Steven Stilianos (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Treyton Welch (CLE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mason Pline (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Thomas Yassmin (DEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Neal Johnson (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Trent Pennix (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Kevin Foelsch (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Shawn Bowman (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lincoln Sefcik (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Mike Rigerman (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Riley Sharp (BAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
David Martin-Robinson (TEN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cam Grandy (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
John Samuel Shenker (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jordan Murray (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Princeton Fant (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
John Stephens Jr. (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Izaiah Gathings (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brevyn Spann-Ford (DAL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Zach Heins (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
McCallan Castles (PHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tanner McLachlan (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jared Wiley (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3
AJ Barner (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Ben Sinnott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.3
La'Michael Pettway (NE),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Matt Bushman (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Trey Knox (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brock Bowers (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,84.0
Austin Stogner (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Theo Johnson (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7
Baylor Cupp (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Miller Forristall (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tre' McKitty (BUF),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0
Hunter Long (LAR),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.1
Albert Okwuegbunam Jr. (PHI),0,1,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.1
Sammis Reyes (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Cameron Latu (SF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Erick All Jr. (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3
Nikola Kalinic (LAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Tanner Conner (MIA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Armani Rogers (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ja'Tavion Sanders (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
Jelani Woods (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.2
Jacob Harris (PHI),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Josh Pederson (JAC),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Ben Mason (LAC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Hunter Kampmoyer (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Zach Davidson (BUF),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Bernhard Seikovits (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Michael Jacobson (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Shane Zylstra (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Dominique Curry (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Drake Dunsmore (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jordan Matthews (CAR),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Derek Fine (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
J.P. Foschi (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Darnell Dinkins (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brad Cottam (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Joey Haynos (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
James Dearth (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Marquez Branson (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Keith Zinger (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Justin Snow (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
N'Keal Harry (MIN),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.1
Anthony Firkser (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Darrell Daniels (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
J.P. Holtz (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0
Jordan Thomas (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Tyler Kroft (FA),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0
Patrick Scales (CHI),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0
Tyler Ott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Stephen Anderson (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0
Eric Tomlinson (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hayden Rucci (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
David Wells (TB),2,2,-10,-5.0,1,0,0,0,0,0,0,5,-1.0,-0.2,0.0
